iter	Passed	Remaining
0	68	68432
1	82	41311
2	98	32662
3	111	27835
4	125	24908
5	138	22911
6	151	21490
7	164	20454
8	178	19645
9	191	18947
10	204	18405
11	218	17961
12	231	17571
13	244	17223
14	258	17001
15	272	16758
16	286	16568
17	300	16400
18	314	16235
19	328	16113
20	342	15955
21	355	15802
22	369	15697
23	382	15564
24	396	15447
25	410	15359
26	423	15252
27	436	15167
28	450	15080
29	463	14985
30	477	14911
31	490	14849
32	505	14807
33	519	14753
34	533	14715
35	547	14655
36	561	14614
37	575	14572
38	589	14529
39	604	14499
40	617	14449
41	631	14400
42	645	14358
43	658	14315
44	672	14263
45	685	14219
46	699	14190
47	712	14133
48	726	14100
49	740	14064
50	753	14018
51	766	13971
52	779	13935
53	792	13890
54	805	13842
55	818	13795
56	831	13763
57	845	13732
58	858	13694
59	871	13655
60	885	13623
61	897	13584
62	910	13548
63	923	13508
64	937	13482
65	956	13537
66	972	13535
67	987	13530
68	1002	13524
69	1016	13510
70	1031	13502
71	1048	13512
72	1064	13514
73	1079	13512
74	1094	13494
75	1107	13467
76	1121	13438
77	1134	13406
78	1148	13386
79	1161	13360
80	1174	13325
81	1187	13293
82	1200	13265
83	1214	13240
84	1227	13217
85	1240	13180
86	1253	13152
87	1265	13118
88	1279	13094
89	1292	13071
90	1306	13045
91	1318	13011
92	1331	12984
93	1344	12956
94	1356	12924
95	1370	12902
96	1383	12876
97	1396	12849
98	1409	12830
99	1423	12808
100	1435	12780
101	1448	12748
102	1461	12729
103	1475	12711
104	1488	12690
105	1502	12668
106	1517	12661
107	1532	12659
108	1545	12633
109	1557	12603
110	1571	12583
111	1584	12560
112	1597	12539
113	1610	12519
114	1624	12500
115	1638	12484
116	1651	12464
117	1664	12443
118	1677	12421
119	1691	12401
120	1704	12384
121	1717	12358
122	1730	12340
123	1745	12327
124	1758	12310
125	1771	12288
126	1784	12268
127	1797	12248
128	1811	12227
129	1824	12207
130	1837	12189
131	1852	12180
132	1865	12157
133	1877	12135
134	1891	12119
135	1904	12099
136	1918	12082
137	1930	12060
138	1944	12041
139	1956	12019
140	1969	11997
141	1982	11981
142	1995	11957
143	2008	11936
144	2020	11915
145	2034	11899
146	2047	11882
147	2061	11866
148	2074	11847
149	2086	11822
150	2098	11800
151	2111	11777
152	2123	11757
153	2136	11736
154	2148	11714
155	2160	11690
156	2173	11670
157	2186	11652
158	2199	11633
159	2213	11619
160	2226	11601
161	2240	11588
