Id,predicted
0,7.25E-11
1,3.13E-13
2,1.78E-10
3,6.77E-09
4,9.80E-07
5,5.80E-09
6,3.57E-09
7,2.37E-09
8,1.65E-11
9,3.11E-09
10,2.68E-11
11,1.05E-10
12,3.28E-07
13,1.67E-07
14,2.31E-08
15,1.68E-07
16,1.14E-05
17,3.94E-09
18,4.34E-07
19,1.59E-09
20,6.60E-08
21,2.14E-11
22,1.78E-10
23,7.54E-11
24,1.66E-11
25,6.66E-10
26,2.45E-10
27,9.96E-07
28,3.49E-09
29,6.95E-08
30,1.05E-06
31,4.17E-13
32,1.16E-09
33,2.43E-09
34,8.27E-11
35,4.36E-11
36,1.79E-09
37,4.26E-11
38,3.86E-06
39,4.92E-09
40,2.84E-08
41,1.80E-10
42,8.48E-09
43,6.68E-11
44,8.08E-12
45,1.82E-10
46,1.18E-15
47,1.24E-08
48,8.38E-10
49,6.38E-08
50,2.66E-10
51,8.48E-11
52,9.10E-09
53,4.40E-14
54,8.19E-09
55,9.85E-13
56,1.07E-09
57,7.08E-08
58,1.72E-07
59,8.54E-08
60,5.48E-10
61,2.34E-08
62,5.50E-08
63,3.75E-11
64,7.80E-11
65,2.66E-09
66,4.41E-08
67,2.98E-10
68,2.71E-09
69,5.25E-09
70,7.16E-08
71,1.43E-09
72,2.12E-09
73,5.28E-09
74,7.70E-09
75,9.58E-06
76,8.60E-09
77,5.25E-08
78,2.02E-08
79,7.08E-07
80,4.54E-08
81,4.48E-11
82,1.96E-09
83,8.17E-08
84,4.90E-07
85,1.27E-09
86,1.52E-09
87,1.84E-08
88,1.83E-06
89,1.09E-07
90,3.02E-08
91,1.57E-09
92,2.85E-07
93,2.05E-10
94,1.52E-11
95,3.12E-09
96,3.89E-08
97,6.04E-08
98,7.10E-09
99,3.08E-07
100,5.65E-12
101,2.51E-08
102,8.14E-09
103,6.95E-09
104,4.24E-10
105,1.28E-10
106,3.73E-10
107,1.53E-08
108,2.64E-05
109,1.31E-08
110,2.84E-07
111,2.84E-07
112,1.84E-10
113,8.11E-09
114,1.85E-10
115,1.32E-09
116,8.60E-11
117,2.73E-08
118,5.86E-11
119,2.40E-05
120,2.67E-08
121,2.60E-10
122,7.11E-09
123,5.69E-10
124,3.41E-11
125,8.04E-08
126,7.12E-11
127,2.48E-10
128,2.75E-09
129,9.23E-12
130,2.39E-10
131,7.42E-07
132,7.83E-09
133,8.78E-13
134,3.07E-09
135,1.26E-09
136,3.39E-08
137,4.95E-12
138,4.26E-11
139,3.54E-09
140,8.20E-10
141,7.69E-09
142,3.79E-10
143,1.28E-08
144,2.80E-13
145,4.25E-09
146,5.06E-11
147,3.35E-07
148,5.22E-09
149,1.53E-09
150,9.06E-08
151,1.63E-09
152,3.44E-09
153,2.89E-09
154,3.10E-12
155,5.48E-08
156,2.92E-07
157,3.22E-09
158,1.66E-07
159,3.37E-09
160,1.08E-10
161,1.15E-07
162,2.56E-08
163,6.71E-10
164,1.25E-07
165,9.23E-08
166,1.60E-08
167,6.85E-07
168,9.83E-11
169,1.33E-09
170,7.59E-10
171,2.81E-11
172,9.14E-08
173,1.34E-08
174,8.42E-09
175,1.03E-10
176,4.59E-09
177,9.54E-11
178,1.86E-10
179,1.84E-06
180,1.87E-11
181,2.03E-10
182,4.09E-11
183,1.49E-08
184,1.66E-10
185,1.09E-09
186,5.18E-13
187,8.82E-09
188,3.12E-07
189,1.24E-07
190,2.46E-10
191,3.13E-08
192,5.67E-08
193,7.59E-10
194,1.87E-09
195,5.55E-09
196,7.97E-09
197,2.30E-09
198,2.84E-09
199,2.13E-11
200,1.19E-09
201,3.72E-08
202,4.98E-08
203,5.74E-11
204,2.80E-10
205,1.18E-09
206,5.45E-10
207,1.82E-10
208,1.05E-07
209,1.98E-09
210,2.48E-10
211,2.72E-08
212,3.83E-11
213,4.60E-08
214,2.29E-09
215,1.37E-08
216,9.21E-08
217,1.50E-08
218,3.99E-12
219,1.73E-09
220,1.65E-06
221,1.87E-07
222,1.01E-09
223,1.33E-07
224,1.25E-09
225,2.58E-07
226,1.52E-09
227,4.71E-07
228,4.18E-08
229,1.41E-09
230,1.81E-09
231,1.17E-09
232,1.17E-07
233,6.32E-08
234,2.21E-08
235,0.000123833
236,3.79E-10
237,1.87E-07
238,1.79E-09
239,1.40E-08
240,2.10E-08
241,1.78E-08
242,1.62E-10
243,4.43E-09
244,2.94E-08
245,2.51E-10
246,9.47E-09
247,2.66E-11
248,6.65E-11
249,7.85E-06
250,1.94E-10
251,1.62E-11
252,1.65E-06
253,6.00E-11
254,1.40E-12
255,4.44E-09
256,3.74E-07
257,5.49E-10
258,1.90E-08
259,1.41E-08
260,1.40E-09
261,1.60E-08
262,2.00E-09
263,2.95E-09
264,6.27E-07
265,3.84E-09
266,4.10E-07
267,3.03E-10
268,2.17E-09
269,4.43E-09
270,4.54E-07
271,5.88E-09
272,1.65E-08
273,6.06E-10
274,4.17E-12
275,4.17E-09
276,2.90E-07
277,2.44E-08
278,9.66E-09
279,1.44E-10
280,9.42E-09
281,1.44E-10
282,2.99E-08
283,2.01E-08
284,3.99E-08
285,0.000192808
286,1.65E-09
287,3.39E-08
288,5.94E-09
289,2.49E-11
290,9.34E-09
291,5.56E-08
292,4.32E-06
293,4.67E-09
294,1.06E-06
295,4.11E-10
296,1.90E-07
297,7.19E-07
298,6.31E-09
299,9.68E-12
300,3.29E-10
301,1.17E-09
302,1.44E-09
303,1.34E-06
304,3.89E-10
305,2.04E-08
306,1.14E-05
307,1.58E-12
308,9.24E-12
309,7.98E-08
310,8.84E-08
311,8.13E-10
312,5.23E-08
313,3.11E-11
314,4.62E-09
315,4.27E-10
316,9.21E-09
317,2.23E-07
318,4.15E-12
319,2.05E-11
320,2.31E-08
321,1.15E-09
322,3.58E-10
323,8.33E-09
324,2.54E-10
325,9.91E-10
326,1.14E-08
327,2.06E-10
328,4.49E-10
329,1.34E-09
330,2.49E-08
331,8.13E-08
332,3.72E-08
333,1.26E-11
334,1.73E-09
335,1.39E-09
336,6.76E-10
337,2.01E-08
338,1.30E-09
339,5.12E-11
340,5.05E-10
341,4.62E-09
342,5.36E-09
343,4.77E-07
344,7.87E-11
345,3.64E-09
346,7.96E-13
347,4.84E-09
348,1.36E-12
349,1.23E-10
350,1.39E-10
351,2.04E-09
352,5.27E-10
353,3.34E-07
354,1.67E-10
355,1.75E-06
356,1.52E-12
357,1.57E-11
358,6.64E-09
359,8.45E-09
360,8.32E-08
361,6.67E-12
362,3.18E-11
363,1.42E-06
364,6.21E-08
365,1.84E-08
366,9.05E-11
367,2.43E-11
368,2.92E-08
369,2.19E-10
370,4.27E-09
371,1.60E-10
372,3.87E-11
373,1.54E-10
374,1.40E-08
375,6.83E-11
376,1.86E-06
377,1.46E-09
378,2.25E-08
379,4.12E-11
380,3.95E-08
381,2.31E-05
382,1.15E-07
383,2.13E-09
384,1.31E-08
385,3.05E-10
386,7.39E-08
387,8.43E-11
388,1.15E-08
389,4.26E-09
390,1.03E-10
391,2.37E-08
392,7.10E-07
393,7.63E-10
394,1.13E-09
395,2.09E-08
396,8.68E-11
397,1.90E-07
398,6.56E-12
399,3.40E-10
400,5.35E-08
401,8.51E-08
402,1.96E-09
403,5.40E-12
404,1.74E-08
405,1.48E-10
406,2.96E-11
407,5.39E-08
408,2.91E-08
409,3.07E-09
410,3.64E-09
411,1.15E-09
412,7.88E-09
413,8.39E-09
414,2.43E-10
415,8.46E-10
416,8.70E-07
417,5.17E-10
418,5.60E-08
419,1.93E-10
420,9.18E-11
421,3.44E-10
422,1.00E-08
423,8.65E-09
424,4.11E-10
425,3.33E-11
426,1.88E-09
427,2.56E-08
428,5.44E-12
429,6.68E-10
430,2.65E-09
431,1.97E-11
432,9.15E-12
433,7.15E-09
434,6.39E-07
435,2.93E-11
436,7.62E-09
437,3.38E-08
438,6.69E-10
439,2.25E-13
440,7.52E-12
441,3.57E-12
442,1.64E-05
443,4.16E-14
444,1.23E-09
445,5.93E-11
446,4.74E-07
447,6.53E-07
448,2.40E-08
449,2.11E-11
450,1.12E-10
451,1.10E-13
452,2.73E-08
453,4.64E-08
454,3.46E-08
455,6.80E-09
456,6.36E-12
457,9.70E-09
458,1.96E-08
459,1.69E-09
460,3.45E-10
461,1.15E-08
462,1.12E-09
463,2.28E-10
464,1.44E-09
465,9.05E-10
466,1.40E-10
467,5.83E-09
468,4.72E-11
469,2.43E-10
470,8.67E-10
471,3.05E-10
472,6.43E-07
473,5.48E-10
474,3.52E-10
475,1.35E-09
476,2.94E-10
477,3.61E-09
478,3.42E-11
479,3.47E-08
480,2.80E-10
481,8.91E-09
482,1.19E-07
483,1.16E-06
484,8.20E-11
485,1.06E-06
486,2.11E-11
487,2.64E-07
488,6.22E-12
489,3.81E-11
490,6.37E-09
491,1.43E-09
492,2.49E-09
493,1.27E-12
494,6.23E-08
495,2.22E-12
496,1.18E-08
497,1.34E-11
498,8.39E-09
499,2.17E-09
500,1.21E-09
501,1.66E-12
502,7.58E-10
503,1.60E-07
504,2.74E-09
505,2.30E-07
506,1.19E-09
507,2.28E-05
508,3.38E-11
509,1.16E-10
510,6.10E-09
511,2.36E-08
512,3.78E-08
513,7.63E-11
514,6.89E-08
515,6.39E-10
516,5.84E-10
517,1.62E-10
518,3.89E-12
519,2.25E-07
520,3.10E-07
521,6.02E-07
522,5.58E-10
523,3.39E-12
524,2.13E-08
525,8.80E-07
526,6.85E-07
527,2.44E-09
528,4.45E-09
529,5.90E-08
530,2.05E-06
531,4.49E-07
532,3.49E-06
533,3.79E-07
534,1.47E-09
535,2.08E-10
536,4.24E-07
537,8.87E-07
538,2.37E-06
539,1.67E-12
540,6.14E-08
541,4.35E-06
542,6.99E-11
543,1.63E-07
544,4.31E-11
545,5.92E-11
546,1.89E-09
547,7.41E-08
548,1.35E-10
549,9.64E-09
550,1.75E-10
551,2.90E-08
552,1.02E-10
553,8.87E-10
554,2.13E-09
555,3.12E-09
556,1.17E-10
557,1.43E-09
558,8.64E-08
559,1.90E-09
560,2.10E-07
561,6.92E-08
562,5.32E-06
563,1.98E-09
564,5.48E-09
565,1.37E-06
566,5.15E-11
567,1.87E-10
568,3.96E-07
569,9.67E-10
570,5.75E-06
571,1.80E-10
572,4.33E-10
573,4.41E-09
574,9.68E-12
575,5.33E-09
576,5.75E-08
577,3.53E-09
578,2.22E-07
579,3.55E-09
580,3.23E-08
581,5.55E-11
582,2.13E-09
583,4.18E-13
584,1.56E-10
585,2.18E-10
586,6.05E-07
587,3.44E-08
588,7.91E-06
589,2.83E-08
590,1.61E-07
591,2.07E-10
592,9.42E-09
593,7.63E-08
594,2.71E-11
595,1.11E-08
596,5.72E-09
597,6.38E-09
598,1.28E-09
599,9.53E-10
600,4.24E-10
601,1.50E-08
602,1.35E-09
603,6.90E-08
604,2.90E-08
605,1.13E-06
606,6.65E-07
607,6.77E-10
608,1.27E-09
609,5.26E-08
